key,method,params,psnr
train/pair_00/0077,identity,{},22.68008386596425
train/pair_00/0077,chroma_lowpass,"{""sigma"": 1}",22.691582420099454
train/pair_00/0077,chroma_lowpass,"{""sigma"": 2}",22.712359088310592
train/pair_00/0077,chroma_lowpass,"{""sigma"": 4}",22.75473023427395
train/pair_00/0077,chroma_lowpass,"{""sigma"": 8}",22.77491697541262
train/pair_00/0077,fft_notch,"{""channels"": ""y"", ""k"": 3, ""r0"": 0.02, ""sigma"": 1}",22.68069317934916
train/pair_00/0077,fft_notch,"{""channels"": ""y"", ""k"": 3, ""r0"": 0.02, ""sigma"": 2}",22.681292821167425
train/pair_00/0077,fft_notch,"{""channels"": ""y"", ""k"": 3, ""r0"": 0.02, ""sigma"": 4}",22.681104547721347
train/pair_00/0077,fft_notch,"{""channels"": ""y"", ""k"": 3, ""r0"": 0.04, ""sigma"": 1}",22.68069317934916
train/pair_00/0077,fft_notch,"{""channels"": ""y"", ""k"": 3, ""r0"": 0.04, ""sigma"": 2}",22.681292821167425
train/pair_00/0077,fft_notch,"{""channels"": ""y"", ""k"": 3, ""r0"": 0.04, ""sigma"": 4}",22.681104547721347
train/pair_00/0077,fft_notch,"{""channels"": ""y"", ""k"": 3, ""r0"": 0.08, ""sigma"": 1}",22.68069317934916
train/pair_00/0077,fft_notch,"{""channels"": ""y"", ""k"": 3, ""r0"": 0.08, ""sigma"": 2}",22.681292821167425
train/pair_00/0077,fft_notch,"{""channels"": ""y"", ""k"": 3, ""r0"": 0.08, ""sigma"": 4}",22.681104547721347
train/pair_00/0077,fft_notch,"{""channels"": ""y"", ""k"": 4, ""r0"": 0.02, ""sigma"": 1}",22.680679354639693
train/pair_00/0077,fft_notch,"{""channels"": ""y"", ""k"": 4, ""r0"": 0.02, ""sigma"": 2}",22.681005735746368
train/pair_00/0077,fft_notch,"{""channels"": ""y"", ""k"": 4, ""r0"": 0.02, ""sigma"": 4}",22.681165792755266
train/pair_00/0077,fft_notch,"{""channels"": ""y"", ""k"": 4, ""r0"": 0.04, ""sigma"": 1}",22.680679354639693
train/pair_00/0077,fft_notch,"{""channels"": ""y"", ""k"": 4, ""r0"": 0.04, ""sigma"": 2}",22.681005735746368
train/pair_00/0077,fft_notch,"{""channels"": ""y"", ""k"": 4, ""r0"": 0.04, ""sigma"": 4}",22.681165792755266
