iter,loss,charbonnier,fft,fft_share,lr,grad_norm,it_per_s,data_wait,gpu_mem_gb,elapsed_min
25,0.134088,0.132818,0.025395,0.00947,7.8e-05,2.384371,1.301329,0.011444,9.248266,0.321467
50,0.120482,0.119345,0.022759,0.009445,0.000153,0.87391,1.281299,0.00073,9.248266,0.646658
75,0.128655,0.12745,0.024107,0.009369,0.000228,0.652011,1.245698,0.000734,9.248266,0.981142
100,0.127574,0.126535,0.020793,0.008149,0.0003,0.574739,1.285993,0.000548,9.248266,1.305146
125,0.125471,0.124266,0.0241,0.009604,0.000299,0.857087,1.293893,0.000626,9.248266,1.627172
150,0.12233,0.121223,0.022138,0.009049,0.000298,0.689553,1.255138,0.000726,9.248266,1.95914
175,0.128233,0.127133,0.021999,0.008578,0.000295,0.723021,1.242154,0.000729,9.248266,2.294579
200,0.133565,0.132432,0.022647,0.008478,0.000291,0.42243,1.261366,0.000544,9.248266,2.624909
225,0.133134,0.132014,0.022412,0.008417,0.000286,0.208557,1.266166,0.000868,9.248266,2.953986
250,0.123736,0.122744,0.019844,0.008019,0.00028,0.343124,1.261792,0.000601,9.248266,3.284205
275,0.126912,0.12607,0.016844,0.006636,0.000273,0.488663,1.257503,0.000773,9.248266,3.615549
300,0.130293,0.129291,0.02003,0.007686,0.000265,0.97384,1.254776,0.000647,9.248266,3.947613
325,0.115411,0.114515,0.017918,0.007763,0.000256,0.337818,1.248299,0.000599,9.248266,4.281401
350,0.128216,0.127321,0.017894,0.006978,0.000247,0.881387,1.248835,0.000703,9.248266,4.615045
375,0.129352,0.128326,0.020518,0.007931,0.000236,0.423435,1.244179,0.000715,9.248266,4.949938
400,0.130668,0.129756,0.018241,0.00698,0.000225,0.393862,1.24224,0.000437,9.248266,5.285354
425,0.123148,0.122128,0.020401,0.008283,0.000214,0.22228,1.24783,0.000705,9.248266,5.619267
450,0.126764,0.125832,0.018635,0.00735,0.000202,0.383286,1.252883,0.000729,9.248266,5.951833
475,0.113904,0.113038,0.017314,0.0076,0.000189,0.495049,1.254835,0.000407,9.248266,6.283882
500,0.113307,0.11246,0.01694,0.007475,0.000176,0.326869,1.250221,0.005241,9.248266,6.617156
525,0.118644,0.117723,0.018419,0.007762,0.000164,0.31355,1.257379,0.000708,9.248266,6.948534
550,0.127952,0.127037,0.018291,0.007148,0.00015,0.418964,1.262332,0.000489,9.248266,7.278611
575,0.121638,0.12069,0.018974,0.007799,0.000137,0.439588,1.257958,0.000666,9.248266,7.609835
600,0.1292,0.12829,0.018197,0.007042,0.000125,0.27615,1.260178,0.000496,9.248266,7.940476
625,0.125054,0.124159,0.017904,0.007159,0.000112,0.385441,1.259992,0.000604,9.248266,8.271166
650,0.112001,0.111097,0.018066,0.008065,9.9e-05,0.707974,1.261646,0.00054,9.248266,8.601422
675,0.119507,0.118634,0.017456,0.007303,8.7e-05,0.606368,1.261474,0.000594,9.248266,8.931724
700,0.1168,0.115981,0.016387,0.007015,7.6e-05,0.746005,1.262573,0.000728,9.248266,9.261738
725,0.125664,0.124781,0.017649,0.007022,6.5e-05,0.319181,1.265314,0.000469,9.248266,9.591037
750,0.116566,0.1157,0.017326,0.007432,5.4e-05,0.785351,1.265397,0.000557,9.248266,9.920314
775,0.124762,0.123821,0.018831,0.007547,4.5e-05,0.234083,1.263784,0.001049,9.248266,10.250012
800,0.121846,0.120973,0.01745,0.007161,3.6e-05,0.771845,1.264886,0.000661,9.248266,10.579422
825,0.112212,0.11139,0.016441,0.007326,2.8e-05,0.291949,1.264253,0.000703,9.248266,10.908998
850,0.118206,0.117158,0.020955,0.008864,2.1e-05,0.273806,1.263396,0.000751,9.248266,11.238797
875,0.129236,0.128261,0.019514,0.00755,1.5e-05,0.603834,1.261872,0.000659,9.248266,11.568994
900,0.121075,0.120155,0.018403,0.0076,1e-05,0.365061,1.271311,0.00079,9.248266,11.89674
925,0.123291,0.122327,0.019269,0.007814,6e-06,0.640303,1.276826,0.000692,9.248266,12.22307
950,0.130836,0.130019,0.016341,0.006245,3e-06,0.373095,1.255772,0.000685,9.248266,12.554871
975,0.121427,0.120478,0.018977,0.007814,2e-06,0.446728,1.24813,0.000746,9.248266,12.888704
1000,0.123718,0.122772,0.018926,0.007649,1e-06,0.682625,1.262695,0.000421,9.248266,13.218686
